approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0007165806,0.013834636,1104.3725490196077,916.2941176470588,0.0015221834182739258,305,25,3.1774826,-0.0011974163,3200,251.37136721611023,76800,14.253944
0.0012353135,0.0538737,1082.982142857143,929.375,0.0014857649803161621,302,26,3.1579227,-0.0012781083,3328,261.5400047302246,79872,13.775449
0.0007600981,0.017496744,1105.2542372881355,971.3389830508474,0.0014252066612243652,309,27,3.1275601,-0.00034627932,3456,271.4519546031952,82944,13.211773
0.0003970581,0.0006510417,1133.344262295082,984.5409836065573,0.000699460506439209,277,28,3.1227174,-0.00079900573,3584,282.5335247516632,86016,21.855001
0.0006566022,0.006429036,1115.7460317460318,987.5079365079365,0.0012534260749816895,294,29,3.1053994,-0.0008742003,3712,292.9699637889862,89088,15.704497
0.00035728313,0.0,1103.8208955223881,1010.223880597015,0.0006344318389892578,311,30,3.0665288,-0.0006667719,3840,302.8400957584381,92160,21.966408
0.00040066513,0.0,1106.7083333333333,1031.3472222222222,0.001482844352722168,325,31,3.0668287,-0.00053375517,3968,312.2886288166046,95232,17.895088
0.00062050857,0.016031902,1110.472972972973,1046.6891891891892,0.0010691285133361816,319,32,3.0705972,-0.0008636771,4096,321.8955545425415,98304,17.294546
0.00041187706,0.0,1107.9333333333334,1049.12,0.0004323124885559082,277,33,3.0602708,-0.00069014996,4224,332.98375606536865,101376,15.461017
0.00046518823,0.0,1090.0128205128206,1053.0,0.0017219185829162598,298,34,3.0900748,-0.00077990734,4352,343.2725877761841,104448,13.371645
0.0004256804,0.0,1082.6385542168675,1094.578313253012,0.0014649033546447754,311,35,3.1039202,-0.00041078476,4480,353.1327712535858,107520,16.840189
0.00029215342,0.0,1083.8720930232557,1101.9651162790697,0.0020990371704101562,325,36,3.1139693,-0.00033146457,4608,362.5585699081421,110592,15.723311
0.00027008628,0.0,1091.3555555555556,1107.888888888889,0.0013465285301208496,343,37,3.1176043,-0.00019190153,4736,371.49710273742676,113664,20.832495
0.0002542234,0.0,1089.1397849462367,1123.3118279569892,0.0017142295837402344,339,38,3.1256564,-0.00044527487,4864,380.55962800979614,116736,16.596283
0.00035139616,0.0,1064.2886597938145,1114.6288659793815,0.002113163471221924,272,39,3.1343822,-0.00079683226,4992,391.82862734794617,119808,21.022017
0.00033057958,0.0016276042,1067.357142857143,1116.5408163265306,0.0037845969200134277,307,40,3.1457927,-0.00044922074,5120,401.82422065734863,122880,20.287237
0.0004919653,0.012613933,1027.68,1151.07,0.002522289752960205,336,41,3.1470923,-0.00088525197,5248,410.965354681015,125952,23.474918
0.00041819533,0.0025227864,1003.3,1162.47,0.0030341744422912598,325,42,3.1478438,-0.0009426456,5376,420.4155070781708,129024,17.50566
0.000558133,0.0012207031,992.58,1194.76,0.002243638038635254,320,43,3.1422977,-0.0011587293,5504,430.00856018066406,132096,22.797583
0.00071433606,0.0021158853,965.71,1203.4,0.003000915050506592,310,44,3.13119,-0.0022727926,5632,439.90073800086975,135168,21.566301
0.0009494785,0.020751953,989.83,1217.66,0.003253757953643799,282,45,3.1104708,-0.001315377,5760,450.78694677352905,138240,20.644165
0.0004610701,0.0045572915,1002.17,1237.28,0.0032772421836853027,300,46,3.1129653,-0.00032386772,5888,460.99620294570923,141312,20.775095
0.0003212076,0.0,955.78,1253.37,0.001924753189086914,324,47,3.1175911,-0.0004320837,6016,470.47714400291443,144384,22.03114
0.0005828289,0.0031738281,953.2,1250.74,0.0025630593299865723,320,48,3.123404,-0.0008974401,6144,480.0619297027588,147456,25.405975
0.00086956006,0.044759113,932.41,1248.45,0.0013546943664550781,320,49,3.1287196,-0.0022620638,6272,489.6399896144867,150528,24.472588
0.00053527,0.013183594,931.16,1262.79,0.0025461316108703613,323,50,3.1457534,0.00033487563,6400,499.1331651210785,153600,26.322046
0.00048317842,0.0006510416,908.09,1257.26,0.0014270544052124023,277,51,3.1638863,-0.0010551009,6528,510.1913712024689,156672,28.230436
0.0009074047,0.04052734,896.32,1260.77,0.0027960538864135742,293,52,3.160581,-0.0012803263,6656,520.6729164123535,159744,15.938516
0.00060509023,0.0,902.21,1274.61,0.004368007183074951,307,53,3.1682565,-0.00042422238,6784,530.6565718650818,162816,20.53865
0.0005673431,0.006266276,914.52,1285.71,0.004102945327758789,310,54,3.1689315,-0.0020402216,6912,540.5430278778076,165888,25.556177
0.0007452689,0.01586914,852.49,1261.19,0.0032141804695129395,314,55,3.1533756,-0.0008162514,7040,550.3198237419128,168960,20.658648
0.00043392731,0.013834635,859.12,1268.88,0.0044724345207214355,273,56,3.155938,-0.0013344827,7168,561.5373241901398,172032,20.815016
0.00043242925,0.004475911,846.63,1255.98,0.004542708396911621,295,57,3.1520958,-0.0009299679,7296,571.9333763122559,175104,22.470192
0.0005733916,0.004964193,829.69,1252.69,0.004494309425354004,314,58,3.152179,-0.001117027,7424,581.6944396495819,178176,21.293592
0.0006763034,0.014322916,841.68,1234.83,0.003298819065093994,328,59,3.1481714,-0.0013069429,7552,591.052013874054,181248,23.990417
0.0005530737,0.0087890625,812.67,1208.44,0.005335807800292969,327,60,3.1431236,-0.0009872698,7680,600.4272720813751,184320,22.115028
0.00046189036,0.0009765625,817.67,1224.37,0.004735350608825684,330,61,3.1357348,-0.0008754211,7808,609.7278127670288,187392,20.430283
0.0004341988,0.0021972656,795.81,1229.81,0.004589974880218506,328,62,3.1261778,5.7711208e-05,7936,619.0912024974823,190464,22.409258
0.0004866719,0.0011393229,788.98,1224.75,0.0067653656005859375,329,63,3.131969,-0.0011842208,8064,628.4255990982056,193536,22.754532
0.0006189835,0.0027669272,778.53,1227.11,0.0040152668952941895,279,64,3.1255648,-0.00072564813,8192,639.4182593822479,196608,24.783209
0.0005590445,0.0,787.0,1231.94,0.005651652812957764,305,65,3.1208234,-0.0013430603,8320,649.4752242565155,199680,17.138336
0.0007001322,0.0020345051,785.64,1233.52,0.005756020545959473,325,66,3.109466,-0.0011409118,8448,658.9027991294861,202752,18.118195
0.00049072306,0.0,789.54,1242.58,0.006162762641906738,339,67,3.104077,-0.00017878576,8576,667.9549975395203,205824,24.934977
0.00051167526,0.0041503906,742.59,1220.29,0.005480587482452393,302,68,3.1199327,-0.0011469234,8704,678.1242024898529,208896,21.012178
0.0009506194,0.012858072,742.12,1220.17,0.006334960460662842,325,69,3.116681,-0.0021755977,8832,687.5752046108246,211968,22.799276
0.0006210699,0.0013834636,720.59,1216.28,0.004838883876800537,330,70,3.1089861,-0.00039533415,8960,696.8734908103943,215040,17.643488
